gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3191674	304.3730713	-1.082795289	0.30106911	-3.596500774	0.000322527	0.021975308
C3193676	731.7838796	0.747053797	0.206238915	3.6222737	0.000292025	0.021381514
C3193814	305.8236254	1.001626459	0.300959628	3.328109044	0.000874376	0.042382127
C3196366	363.4810527	1.507726673	0.282669062	5.3338935	9.61E-08	6.76E-05
C3205422	207.9725898	1.571110623	0.298856788	5.257068554	1.46E-07	8.86E-05
C3207190	589.272856	-0.566997714	0.168970687	-3.355598082	0.000791936	0.039961721
C3207412	1130.783571	0.820046882	0.223999651	3.66092929	0.000251302	0.019624833
C3207600	904.4952685	-0.757843418	0.202776621	-3.737331326	0.000185984	0.015903947
C3208144	46.86030057	2.310201788	0.505129829	4.57348122	4.80E-06	0.001189905
C3208228	75.80182939	1.701665919	0.450274033	3.779178442	0.000157347	0.013823558
C3210668	78.28969396	-1.0477065	0.315878538	-3.316801788	0.000910542	0.043633582
C3210942	50.58290967	-1.584320945	0.406732267	-3.89524283	9.81E-05	0.010886563
C3212844	20.48708602	2.048371403	0.618079227	3.314091967	0.000919413	0.043809751
C3212892	364.6305676	0.928133768	0.285679609	3.248862496	0.001158675	0.04910041
C3213146	22.2710118	1.884755081	0.490872864	3.83959925	0.000123235	0.011810984
C3213184	2099.257243	1.218608626	0.321717847	3.787817921	0.000151976	0.013492283
C3214584	329.2968919	-1.075507422	0.245976842	-4.372393005	1.23E-05	0.002527979
C3216080	240.8064989	-1.167689873	0.331532617	-3.52209651	0.000428148	0.026166683
C3216336	205.2011361	-1.145685317	0.281628692	-4.068070296	4.74E-05	0.006448484
C3216966	260.8781884	0.908493985	0.230841874	3.935568398	8.30E-05	0.009589345
C3217236	23.64179613	-1.775792194	0.514294813	-3.45286818	0.00055466	0.0307572
C3217496	15074.2497	0.910761825	0.217077491	4.195560865	2.72E-05	0.00433153
C3217530	65.53133001	1.152067081	0.296845044	3.881038624	0.000104011	0.011246557
C3217896	57.1654224	-1.061529831	0.321773793	-3.298994059	0.00097032	0.04571886
C3219030	149.6265901	1.12311003	0.293330255	3.828824378	0.000128757	0.012033808
C3224864	212.5106151	1.646455505	0.318231365	5.173768793	2.29E-07	0.000113819
C3226186	22.02580286	-1.526807901	0.465781929	-3.277945764	0.001045655	0.047880912
C3227388	192.8379815	1.057343317	0.231852282	4.560417993	5.11E-06	0.001230205
C3228096	71.71512738	2.334468838	0.561610884	4.156737175	3.23E-05	0.004950375
C3228116	109.7310852	1.052375979	0.285994208	3.679710804	0.000233499	0.018404927
C3228208	337.6387142	-0.592572918	0.181666149	-3.261878565	0.001106765	0.04821215
C3228890	716.0611966	1.378648571	0.366246764	3.764261444	0.000167042	0.014524048
C3235972	1295.024589	-0.729102319	0.197782409	-3.686386087	0.000227461	0.018101854
C3237692	512.9085219	0.965977738	0.278509294	3.468386013	0.000523595	0.029652164
C3240386	173.7808017	1.783064814	0.348299372	5.119345473	3.07E-07	0.000143658
C3241086	9208.150336	0.540796222	0.155927529	3.468253662	0.000523853	0.029652164
C3241480	42.66818805	2.434326686	0.672813538	3.618129765	0.00029674	0.021390615
C3241902	165.1318831	-1.713810709	0.414799885	-4.13165666	3.60E-05	0.005062622
C3244748	17409.13934	1.411107574	0.367442033	3.84035425	0.000122857	0.011810984
C3245106	1888.529146	1.59122457	0.271804871	5.854290118	4.79E-09	6.73E-06
C3245146	20.57516798	2.509184657	0.593324214	4.229027905	2.35E-05	0.003881347
C3246264	287.4321666	0.709578562	0.196986405	3.602170225	0.000315572	0.021975308
C3246572	55.86123061	1.561523763	0.468270747	3.334660076	0.000854037	0.041635552
C3246768	227.769926	-0.797894999	0.208831962	-3.820751336	0.000133046	0.012065675
C3247278	439.4622442	0.769220575	0.213907274	3.596046835	0.00032309	0.021975308
C3247458	8976.535891	-2.648731042	0.627818042	-4.218946993	2.45E-05	0.003980945
C3250434	639.8227388	-1.02645705	0.240566535	-4.266832256	1.98E-05	0.003483736
C3250974	52.96585535	-1.29678606	0.399493381	-3.246076459	0.001170074	0.04910041
C3254072	136.2494999	1.051934498	0.307017693	3.426299272	0.000611866	0.033293396
C3254180	1502.188404	0.694742043	0.199199264	3.487673735	0.000487242	0.028537508
C3254208	33.25869394	1.947592893	0.525467986	3.706396861	0.000210229	0.017383036
C3254278	171.274271	0.931260201	0.269816751	3.451454354	0.000557574	0.0307572
C3254958	197.0382001	1.050947961	0.258741444	4.061768936	4.87E-05	0.00651992
C3256006	83.6804109	-1.161467507	0.334259779	-3.474745033	0.000511339	0.02953859
C3256874	956.8528922	-1.003479821	0.209075212	-4.79961165	1.59E-06	0.000487839
C3257198	4394.59786	0.631892511	0.16412403	3.850091359	0.000118074	0.011715697
C3257722	201.8662538	1.127117821	0.333576121	3.378892402	0.000727785	0.037657286
C3258972	1093.899554	0.863050987	0.210516833	4.099676861	4.14E-05	0.00572029
C3259694	607.6731587	1.26336503	0.304276609	4.152028098	3.30E-05	0.004963135
C3262108	193.3870754	-1.128292842	0.282621074	-3.992245958	6.55E-05	0.008041365
C3262132	532.4875346	1.299432796	0.398384624	3.26175439	0.00110725	0.04821215
C3263298	546.3081881	2.380551456	0.44160668	5.39065998	7.02E-08	5.92E-05
C3263412	234.4855359	1.301792072	0.397287211	3.276702685	0.001050269	0.047880912
C3264034	383.5466394	-0.753075745	0.230570649	-3.266138807	0.001090248	0.04821215
C3266116	490.7442452	-0.726204356	0.218615395	-3.321835389	0.000894274	0.043098913
C3266362	353.8010727	-1.423211263	0.262605703	-5.419574857	5.97E-08	5.60E-05
C3267066	176.4721049	-1.974878092	0.240612788	-8.207702118	2.25E-16	1.90E-12
C3268214	97.35512157	1.678286296	0.459848193	3.64965291	0.000262595	0.020029081
C3268334	1419.687129	0.820203617	0.237652925	3.451266654	0.000557962	0.0307572
C3268918	171.3012526	0.945695746	0.248605556	3.804000844	0.000142378	0.012774611
C3269628	647.982072	1.188950184	0.233386932	5.094330585	3.50E-07	0.000147585
C3269636	88.79281755	-1.228724082	0.343756842	-3.574398913	0.000351033	0.02260012
C3272322	2385.278905	0.741633113	0.211780047	3.501902668	0.000461948	0.027329563
C3272772	334.617443	-0.936225084	0.210418779	-4.449341883	8.61E-06	0.001963385
C3273062	59.34839925	1.363489006	0.419115536	3.253253313	0.001140917	0.049094374
C3273148	185.8557349	-1.210938361	0.313338603	-3.864631895	0.000111257	0.011443175
C3273340	124.6403327	1.540841838	0.390772896	3.943062211	8.04E-05	0.009423563
C3273458	30.8765643	1.996206192	0.548148512	3.641725092	0.000270817	0.020249396
C3273960	1739.117645	-0.947742511	0.264039612	-3.589395181	0.000331446	0.022223115
C3274996	113.6137611	-1.050155236	0.319409673	-3.287800351	0.001009734	0.047050266
C3275322	12371.14932	-0.669301426	0.18395735	-3.638351102	0.000274389	0.020299986
C3275424	354.9611877	0.960403195	0.274316311	3.50107944	0.000463378	0.027329563
C3275658	122.502593	1.58229306	0.399790335	3.957807188	7.56E-05	0.008985296
C3275913	921.4986909	1.099877669	0.27194312	4.044513682	5.24E-05	0.006909534
C3276411	192.7394405	1.724652333	0.339251031	5.083705509	3.70E-07	0.000148656
C3276681	61.08813703	3.820948856	0.569944134	6.704076119	2.03E-11	5.70E-08
C3276837	243.487339	0.753355354	0.21131741	3.565041584	0.000363799	0.023163823
C3277289	1015.697291	-0.737545596	0.217905455	-3.384704601	0.000712549	0.037326942
C3278301	5895.84955	0.77430344	0.228342357	3.390975945	0.000696442	0.036942094
C3279761	144.5995901	0.957959597	0.285268547	3.358097513	0.000784809	0.039873982
C3281051	39.78945186	-1.759152926	0.458125461	-3.83989338	0.000123088	0.011810984
C3281571	327.2251738	-1.236893058	0.333498114	-3.70884574	0.000208206	0.017383036
C3281727	64.68813655	2.16155584	0.488812412	4.422055959	9.78E-06	0.002114255
C3281883	5385.684144	0.679673618	0.177735743	3.824068292	0.000131268	0.012033808
C3282059	61.44522115	-1.739851271	0.490490765	-3.547164178	0.000389402	0.024280643
C3282645	166.0098645	-1.484582169	0.452890696	-3.278014277	0.001045401	0.047880912
C3282687	387.0709786	-1.09942059	0.237568064	-4.627813065	3.70E-06	0.000946013
C3282783	307.4084818	0.957943268	0.259863361	3.686334476	0.000227507	0.018101854
C3282801	129.180608	1.78234482	0.369497401	4.823700563	1.41E-06	0.000457119
C3282891	107.671335	1.770422668	0.443484052	3.992077419	6.55E-05	0.008041365
C3283459	52.20267777	1.721100947	0.490175009	3.511196849	0.000446094	0.026873973
C3283815	4449.390474	0.822133173	0.233205867	3.525353733	0.000422918	0.026035675
C3284617	258.8184054	-1.057209809	0.27554553	-3.836788097	0.000124654	0.011812712
C3285313	1059.726115	-0.99380956	0.283655617	-3.503577935	0.000459052	0.027329563
C3285645	127.2808165	-1.724775981	0.306843615	-5.621026146	1.90E-08	2.00E-05
C3285829	1503.005594	0.886579945	0.214204647	4.138938898	3.49E-05	0.005062622
C3286201	84.07008117	1.242152546	0.320642773	3.873945246	0.000107087	0.011432605
C3286289	25.25600454	3.679147848	0.6486177	5.672290239	1.41E-08	1.70E-05
C3286467	32.18907406	2.182792978	0.526521796	4.145683985	3.39E-05	0.005013063
