baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3113485	127.471572890429	-1.16801086435976	0.24485546406142	-4.77020543052604	1.84038133406032e-06	0.000366271971386515
C3113793	292.354262494749	1.42533529103717	0.355864811475686	4.00527179162965	6.19462134702238e-05	0.00434948965121765
C3114723	60.6603972314336	-1.99960513368721	0.268260113046307	-7.45397856945673	9.05667155754641e-14	2.2981304077274e-10
C3115325	207.201252516091	0.732945654211853	0.224741542473439	3.26128247650732	0.00110909491917182	0.0293159203895676
C3115549	90.1300786142051	0.812726944955262	0.234765889814509	3.461861284863	0.000536453570550857	0.0183333459296
C3116063	15.9250560558017	1.43762090308788	0.453780506281637	3.16809753435205	0.00153440034121201	0.0349586580915677
C3116905	17.9901987914135	-2.11352005272971	0.487465557445175	-4.33573207470647	1.45275808773841e-05	0.00152015408149947
C3117663	78.5039594679117	-0.767063987651248	0.253158644334936	-3.02997351588121	0.00244575184205289	0.0473747732764061
C3118261	382.622089351664	1.00766494815526	0.333081612260523	3.02527942421243	0.00248403519026574	0.0478406942788342
C3118413	127.826149777028	0.936156985412345	0.260253409521486	3.59709787139238	0.000321787429413674	0.0132232486176064
C3119985	106.810769646933	1.47384283549088	0.30518277880617	4.82937746768129	1.36960562951125e-06	0.000302206459555199
C3120439	90.2647609136421	0.891107229172183	0.272434768744724	3.27090126299982	0.00107205333212801	0.0285599509740138
C3120715	36.8607205859432	-1.41931149653093	0.376147976446173	-3.77327962771597	0.00016111553499899	0.00838627015507562
C3122113	2201.09346141835	0.525442650188959	0.165433237773703	3.17616131594859	0.00149237938036091	0.034348414309894
C3122285	49.4091088383088	0.99857376776435	0.303056959159055	3.29500358789076	0.000984204232086782	0.0271458504230458
C3122551	266.112630667208	0.902029357087347	0.246520519615219	3.65904371163616	0.000253158161065453	0.01136971387086
C3123435	1966.23223290045	-0.57784980264952	0.179169723616768	-3.22515317311926	0.00125905286111702	0.031789518757059
C3124627	119.092055082538	-0.790756987047245	0.239400897244025	-3.30306609603561	0.000956338437281969	0.0265940688723616
C3124877	717.45170382152	-0.709307636837265	0.227110571927241	-3.12318194092922	0.00178907115606991	0.03880143639767
C3124913	1156.36049428921	-0.753310767173045	0.220562142508118	-3.41541281113244	0.000636854141576524	0.0206519793514432
C3125791	139.601929953042	1.14383285828404	0.370744878340719	3.08522902164771	0.00203395469384492	0.0422180780010755
C3126441	3626.38742998148	-0.647696862431024	0.160948131325384	-4.02425835638685	5.71551456834417e-05	0.00426593292812503
C3126505	1065.38980492343	-0.568147825038884	0.16037176110854	-3.5426924360727	0.000396064334029084	0.0154025018789088
