gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3053215	202.3776727	-0.769302924	0.204890828	-3.754696747	0.000173551	0.000649684
C3053241	30.73094993	-1.244551443	0.339038959	-3.670821337	0.000241772	0.000878784
C3053305	15.21089445	-1.218340183	0.483712808	-2.518726322	0.011778016	0.028375381
C3053339	24.09682888	1.136029889	0.37351487	3.041458268	0.002354352	0.006846298
C3053345	220.6811069	-0.345028102	0.138879549	-2.484369402	0.01297811	0.030866166
C3053427	94.90642145	0.592778641	0.226115896	2.621569967	0.008752579	0.021966595
C3053463	241.7117713	-0.471091895	0.164012172	-2.872298371	0.00407498	0.01117059
C3053519	51.80887937	-0.911819164	0.326583259	-2.791996037	0.0052384	0.013955302
C3053593	182.1821219	1.984829994	0.179477829	11.05891467	1.98E-28	8.51E-27
C3053615	32.30637485	0.980204983	0.307637334	3.186235459	0.001441372	0.00439724
C3053623	10.67030825	-2.602624222	0.708668517	-3.672555163	0.000240137	0.000873405
C3053667	3313.531711	1.846400832	0.182412652	10.12210945	4.41E-24	1.32E-22
C3053701	123.5531435	-1.267778139	0.196518739	-6.451181931	1.11E-10	1.01E-09
C3053757	110.1474167	1.925770764	0.250348586	7.692357255	1.44E-14	1.99E-13
C3053851	117.8394482	-0.787053965	0.179003807	-4.396856005	1.10E-05	5.11E-05
C3053991	10.38549106	-2.422351784	0.608196883	-3.982841495	6.81E-05	0.000275482
C3053995	328.4489763	-0.821020129	0.14622449	-5.614792238	1.97E-08	1.36E-07
C3054009	100.9931245	2.085469614	0.236665474	8.811887829	1.23E-18	2.40E-17
C3054031	305.0362433	-0.642870263	0.190216459	-3.379677379	0.00072571	0.002376098
C3054095	2.938316921	-5.095828035	1.295953993	-3.932105662	8.42E-05	0.000335036
C3054119	2099.013407	-1.144381629	0.253667602	-4.511343261	6.44E-06	3.10E-05
C3054163	115.1087466	-1.352990763	0.25606701	-5.283737117	1.27E-07	7.85E-07
C3054181	3.818637985	-2.488622992	0.926099611	-2.687208765	0.00720519	0.018542995
C3054271	6.088267037	-3.240251188	0.932387926	-3.475217875	0.000510439	0.00173619
C3054293	114.6526445	-0.742676263	0.242278129	-3.065387154	0.002173884	0.006367532
C3054327	2260.801439	1.377901971	0.095038593	14.4983415	1.24E-47	1.72E-45
C3054329	17.56554466	1.912967302	0.459415389	4.163916467	3.13E-05	0.000134717
C3054333	25.5414158	1.065211082	0.380131977	2.802213826	0.005075322	0.01357221
C3054483	11.86487829	-1.471191246	0.565536959	-2.601406013	0.00928425	0.023091737
C3054489	622.2273008	2.026889636	0.180141775	11.25163574	2.27E-29	1.03E-27
C3054519	144.5464146	-0.453699976	0.189029784	-2.400150746	0.016388321	0.03774113
C3054729	1886.65267	0.349431667	0.114123854	3.061863539	0.002199637	0.006428479
C3054765	28.04161056	0.879074711	0.342743941	2.564814735	0.010323091	0.025306773
C3054801	214.9573462	-1.269327356	0.181347334	-6.999426616	2.57E-12	2.79E-11
C3054895	5.940713213	-2.247435529	0.864341477	-2.600170869	0.009317735	0.023154572
C3054907	241.7113475	-2.402298254	0.263599308	-9.113446733	7.98E-20	1.73E-18
C3054913	330.7575049	0.501620446	0.156137678	3.212680331	0.001315026	0.004045386
C3054949	94.80532606	-1.79207243	0.200546991	-8.935922799	4.04E-19	8.26E-18
C3054967	22.25578621	1.355499099	0.414752535	3.268211729	0.001082294	0.003396211
C3055019	609.2149851	-1.876142281	0.260891262	-7.191280648	6.42E-13	7.48E-12
C3055409	178.1984308	0.868116894	0.165951598	5.231145117	1.68E-07	1.03E-06
C3055453	18.98424286	-2.105110234	0.453253751	-4.644440842	3.41E-06	1.72E-05
C3055475	3.391660523	3.584822168	1.476252196	2.428326392	0.015168685	0.03531071
