gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
C3048071	5.263761725	-2.309558878	0.877613797	-2.631634652	0.008497519	0.01874763
C3048117	2.086324293	3.739180361	1.427403201	2.619568428	0.008804111	0.019350338
C3048169	314.0168433	-0.901798956	0.180475272	-4.996800649	5.83E-07	2.40E-06
C3048297	6.84944463	2.452618623	0.732671657	3.347500341	0.000815439	0.002196726
C3048309	16.38665901	1.006290995	0.404569293	2.487314317	0.012871162	0.027169126
C3048377	36.62391711	-0.926989418	0.35318469	-2.624659121	0.008673575	0.019096937
C3048409	413.4936287	-0.679184389	0.127785073	-5.315052627	1.07E-07	4.74E-07
C3048443	62.72429671	-1.070051517	0.24158031	-4.429382164	9.45E-06	3.38E-05
C3048463	72.43044301	-0.673097164	0.239773106	-2.807225447	0.004997026	0.011624425
C3048629	26.48909649	-1.36087318	0.340611456	-3.995382881	6.46E-05	0.000205175
C3048647	1.401187745	3.981101885	1.754169274	2.26950839	0.023237428	0.046018224
C3048747	703.6990393	0.492301372	0.134435271	3.661995623	0.000250258	0.000729729
C3048839	349.1388407	-0.910162269	0.245886395	-3.701556033	0.000214281	0.000631556
C3048869	379.2009211	-6.371610059	0.766504736	-8.312551452	9.37E-17	9.04E-16
C3048877	349.5497359	0.406559261	0.141573688	2.871714846	0.004082512	0.009683954
C3048911	24.49902428	1.909336584	0.34822794	5.483008002	4.18E-08	1.95E-07
C3048947	137.8371748	-2.000485823	0.188563255	-10.6090968	2.70E-26	4.60E-25
C3048967	90.16781323	-0.929837165	0.293758709	-3.165309276	0.001549182	0.003983445
C3048993	255.2216275	1.536018203	0.152726954	10.05728302	8.53E-24	1.28E-22
C3049027	197.5437006	1.482227312	0.1490759	9.942769508	2.71E-23	3.93E-22
C3049031	284.0915531	0.655664706	0.226296944	2.897364379	0.003763124	0.008979495
C3049139	169.2204829	0.716468185	0.222980746	3.213139236	0.001312926	0.003417773
C3049147	6.557988205	4.054235631	1.0498751	3.861636143	0.00011263	0.00034629
C3049181	10.84613722	1.340490595	0.521369087	2.571097189	0.010137687	0.021950341
C3049201	88.57538683	0.818927364	0.191183913	4.283453304	1.84E-05	6.33E-05
C3049225	356.7667898	0.903282459	0.118699165	7.609846793	2.74E-14	2.23E-13
C3049367	105.928928	-0.902750072	0.192956973	-4.678504539	2.89E-06	1.10E-05
C3049439	199.4178054	1.462489876	0.14563507	10.04215452	9.95E-24	1.49E-22
C3049461	65.39635211	-2.143452803	0.274769963	-7.800899259	6.15E-15	5.22E-14
C3049501	251.1251751	-1.201897488	0.280523931	-4.284473992	1.83E-05	6.31E-05
C3049567	423.7835668	0.570982887	0.156314613	3.65277998	0.000259416	0.000754774
C3049623	14.18617259	1.844291106	0.487689007	3.781695057	0.000155764	0.000468707
C3049657	237.8229225	-0.444600167	0.144797445	-3.070497316	0.002137026	0.005348151
C3049717	7.241810796	-1.751377528	0.73558489	-2.380931898	0.017268904	0.035255897
C3049765	141.6775506	0.809390226	0.15960401	5.071239909	3.95E-07	1.65E-06
C3049771	1543.305571	0.643600357	0.101784075	6.323193043	2.56E-10	1.47E-09
C3049791	65.25272569	1.392225532	0.231340125	6.018089304	1.76E-09	9.38E-09
C3049797	30.7176111	2.535084674	0.433897455	5.842589402	5.14E-09	2.62E-08
C3049815	12.0137985	1.935332296	0.513158728	3.771410659	0.000162327	0.000486587
C3049821	169.692615	2.355348488	0.178172217	13.21950486	6.77E-40	2.30E-38
C3049923	1660.125647	1.254869228	0.131499492	9.542768623	1.39E-21	1.81E-20
C3050053	8.700762783	1.437191712	0.630762496	2.278498994	0.022696864	0.045051263
C3050065	107.7702678	1.592981941	0.210583282	7.564617323	3.89E-14	3.13E-13
C3050123	65.6615951	-2.137720679	0.238129307	-8.977142312	2.78E-19	3.16E-18
C3050135	133.173068	3.437523073	0.233343333	14.73161041	4.04E-49	2.05E-47
C3050175	325.4702806	0.936308216	0.162106432	5.775885656	7.65E-09	3.83E-08
C3050233	178.3653792	-1.253189358	0.159564124	-7.853829085	4.04E-15	3.49E-14
C3050335	9.099958806	4.623132404	0.983925205	4.698662438	2.62E-06	1.00E-05
C3050361	99.96535482	0.856527154	0.212670505	4.027484464	5.64E-05	0.000180483
C3050439	215.2184018	1.889265088	0.153691436	12.29258528	9.93E-35	2.61E-33
C3050481	126.2016819	1.250180093	0.183579074	6.810035951	9.76E-12	6.43E-11
C3050525	388.734548	0.655552687	0.136686068	4.796046117	1.62E-06	6.34E-06
C3050527	59.76100856	0.653491279	0.250543894	2.608290584	0.009099567	0.019943131
C3050549	178.0747421	-0.422505229	0.168681583	-2.504750196	0.01225379	0.026028543
C3050563	23.54982546	2.014850643	0.357793287	5.631326013	1.79E-08	8.68E-08
